CountyIds,COUNTY,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,Duration,ArchiveYear,PercentContained,MajorIncident,time
49,sonoma,38.17693,-122.51253,CAL FIRE Sonoma-Lake-Napa Unit,Lakeville Fire,158.0,2013-07-26 13:45:00+00:00,2013-07-26 17:45:00+00:00,0 days 04:00:00,2013,100.0,False,2013-07-26
1,alameda,0.0,0.0,CAL FIRE Santa Clara Unit,Highland Fire,150.0,2013-10-04 07:35:00+00:00,2013-10-04 10:30:00+00:00,0 days 02:55:00,2013,100.0,False,2013-10-04
33,riverside,33.99012800000001,-117.164997,CAL FIRE / Riverside County Fire,Redlands Fire,150.0,2013-07-16 17:48:00+00:00,2013-07-17 07:45:00+00:00,0 days 13:57:00,2013,100.0,False,2013-07-16
50,stanislaus,37.436,-121.1955,CAL FIRE Santa Clara Unit,Diablo Fire,150.0,2013-07-12 15:35:00+00:00,2013-07-13 21:45:00+00:00,1 days 06:10:00,2013,100.0,False,2013-07-12
10,fresno,36.7218,-119.2248,CAL FIRE/Fresno County Fire,George Fire,150.0,2013-06-25 13:36:00+00:00,2013-06-25 17:15:00+00:00,0 days 03:39:00,2013,100.0,False,2013-06-25
4,butte,0.0,0.0,CAL FIRE Butte Unit,Neal Fire,150.0,2013-05-22 00:56:00+00:00,2013-05-22 09:30:00+00:00,0 days 08:34:00,2013,100.0,True,2013-05-22
19,los angeles,34.419284000000005,-118.58688,Los Angeles County Fire Department,Magic Fire,149.0,2013-05-28 11:30:00+00:00,2013-05-29 15:30:00+00:00,1 days 04:00:00,2013,100.0,False,2013-05-28
54,tulare,36.258,-118.459,Sequoia National Forest,Angora Fire,134.0,2013-09-08 11:53:00+00:00,2013-09-24 20:15:00+00:00,16 days 08:22:00,2013,100.0,False,2013-09-08
49,sonoma,38.638828,-122.655616,CAL FIRE Sonoma-Lake-Napa Unit,Yellow Fire,125.0,2013-05-01 02:01:00+00:00,2013-05-03 06:15:00+00:00,2 days 04:14:00,2013,100.0,True,2013-05-01
48,solano,38.08744,-122.13802,CAL FIRE Sanoma-Lake-Napa Unit,California Fire,124.0,2013-06-18 15:18:00+00:00,2013-06-18 22:30:00+00:00,0 days 07:12:00,2013,100.0,False,2013-06-18
24,merced,37.03776,-121.006939,CAL FIRE Madera-Mariposa-Merced Unit,152 Fire,124.0,2013-06-04 15:42:00+00:00,2013-06-05 08:30:00+00:00,0 days 16:48:00,2013,100.0,False,2013-06-04
33,riverside,33.963591,-117.187934,CAL FIRE/Riverside County Fire,Smiley Fire,124.0,2013-05-25 14:59:00+00:00,2013-05-25 23:00:00+00:00,0 days 08:01:00,2013,100.0,False,2013-05-25
17,lake,38.88221400000001,-122.567525,CAL FIRE Sonoma-Lake-Napa Unit,Cantwell Fire,120.0,2013-11-08 13:42:00+00:00,2013-11-10 18:30:00+00:00,2 days 04:48:00,2013,100.0,True,2013-11-08
9,el dorado,38.682378,-120.839075,CAL FIRE Amador-El Dorado Unit,Union Fire,116.0,2013-08-16 13:55:00+00:00,2013-08-16 17:55:00+00:00,0 days 04:00:00,2013,100.0,True,2013-08-16
36,san bernardino,34.287,-117.451,San Bernardino National Forest,Cleghorn Fire,110.0,2013-08-17 17:25:00+00:00,2013-08-18 20:55:00+00:00,1 days 03:30:00,2013,100.0,False,2013-08-17
10,fresno,36.772425,-119.62838899999998,CAL FIRE/Fresno County Fire,Clinton Fire,108.0,2013-06-13 11:54:00+00:00,2013-06-13 21:30:00+00:00,0 days 09:36:00,2013,100.0,False,2013-06-13
27,monterey,36.1531,-120.8973,CAL FIRE San Benito-Monterey Unit ,Freeman Fire,105.0,2013-06-29 14:09:00+00:00,2013-06-29 18:30:00+00:00,0 days 04:21:00,2013,100.0,False,2013-06-29
19,los angeles,0.0,0.0,Angeles National Forest / Los Angeles County Fire Department,Bee Fire,100.0,2013-08-09 17:15:00+00:00,2013-08-11 19:15:00+00:00,2 days 02:00:00,2013,100.0,False,2013-08-09
55,tuolumne,37.91529,-120.33313,CAL FIRE Tuolumne-Calaveras Unit,Murphy Fire,100.0,2013-06-02 13:30:00+00:00,2013-06-02 16:55:00+00:00,0 days 03:25:00,2013,100.0,False,2013-06-02
37,san diego,32.56446500000001,-116.900368,CAL FIRE San Diego Unit,Border Fire,100.0,2013-05-22 16:14:00+00:00,2013-05-23 08:30:00+00:00,0 days 16:16:00,2013,100.0,False,2013-05-22
23,mendocino,38.9252,-122.966,CAL FIRE Mendocino Unit,Highland Fire,98.0,2013-09-28 13:57:00+00:00,2013-09-29 18:15:00+00:00,1 days 04:18:00,2013,100.0,False,2013-09-28
25,modoc,41.73325,-120.375,Modoc National Forest ,Davis Creek Complex,97.0,2013-09-05 15:57:00+00:00,2013-09-24 20:15:00+00:00,19 days 04:18:00,2013,100.0,False,2013-09-05
36,san bernardino,33.642,-116.706,San Bernardino National Forest,Little Fire,97.0,2013-08-24 15:09:00+00:00,2013-08-30 08:00:00+00:00,5 days 16:51:00,2013,100.0,False,2013-08-24
18,lassen,40.88886,-120.958126,CAL FIRE Lassen-Modoc Unit,Coyote Fire,97.0,2013-08-09 15:51:00+00:00,2013-08-12 09:30:00+00:00,2 days 17:39:00,2013,100.0,False,2013-08-09
3,amador,38.27783,-120.966016,CAL FIRE Amador-El Dorado Unit,Roadrunner Fire,96.0,2013-06-12 16:43:00+00:00,2013-06-13 09:45:00+00:00,0 days 17:02:00,2013,100.0,False,2013-06-12
40,san luis obispo,35.4393,-120.8358,CAL FIRE San Luis Obispo Unit,Creek Fire,94.0,2013-09-24 03:20:00+00:00,2013-09-24 17:30:00+00:00,0 days 14:10:00,2013,100.0,False,2013-09-24
4,butte,39.6612,-121.50354,CAL FIRE Butte Unit,Branch Fire,92.0,2013-08-01 16:01:00+00:00,2013-08-04 14:45:00+00:00,2 days 22:44:00,2013,100.0,True,2013-08-01
20,madera,37.1927,-119.7917,CAL FIRE Madera-Mariposa-Merced Unit,Lilly 2 Fire,91.0,2013-05-19 15:07:00+00:00,2013-05-20 19:10:00+00:00,1 days 04:03:00,2013,100.0,True,2013-05-19
33,riverside,33.9582,-116.6534,CAL FIRE/Riverside County Fire ,Water Fire,90.0,2013-05-21 14:16:00+00:00,2013-05-21 19:30:00+00:00,0 days 05:14:00,2013,100.0,False,2013-05-21
40,san luis obispo,35.62743,-120.83417,CAL FIRE San Luis Obispo,Adelaida Fire,85.0,2013-07-07 13:16:00+00:00,2013-07-07 22:00:00+00:00,0 days 08:44:00,2013,100.0,False,2013-07-07
23,mendocino,39.0442,-123.1478,CAL FIRE Mendocino Unit,Retek Fire,82.0,2013-11-22 10:06:00+00:00,2013-11-22 17:30:00+00:00,0 days 07:24:00,2013,100.0,False,2013-11-22
4,butte,39.731878,-121.71393799999998,CAL FIRE Butte Unit,Centerville Fire,80.0,2013-08-31 17:23:00+00:00,2013-09-01 18:00:00+00:00,1 days 00:37:00,2013,100.0,True,2013-08-31
10,fresno,0.0,0.0,CAL FIRE / Fresno County Fire,Butte Fire,80.0,2013-04-09 12:35:00+00:00,2013-04-09 15:30:00+00:00,0 days 02:55:00,2013,100.0,False,2013-04-09
52,tehama,0.0,0.0,CAL FIRE Tehama-Glenn Unit,Tehama Fire,75.0,2013-09-15 17:39:00+00:00,2013-09-15 19:00:00+00:00,0 days 01:21:00,2013,100.0,False,2013-09-15
36,san bernardino,34.316,-117.352,San Bernardino County Fire,Silverwood Fire,75.0,2013-07-25 15:09:00+00:00,2013-07-26 18:15:00+00:00,1 days 03:06:00,2013,100.0,False,2013-07-25
20,madera,37.169379,-119.75636000000002,CAL FIRE Madera-Mariposa-Merced Unit,Revis Fire,75.0,2013-06-12 16:40:00+00:00,2013-06-14 16:30:00+00:00,1 days 23:50:00,2013,100.0,True,2013-06-12
36,san bernardino,34.1834,-117.4408,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",Lytle Fire,75.0,2013-05-13 13:30:00+00:00,2013-05-15 08:15:00+00:00,1 days 18:45:00,2013,100.0,True,2013-05-13
28,napa,38.441792,-122.350844,CAL FIRE Sonoma-Lake-Napa Unit,Silverado Fire,75.0,2013-04-30 23:44:00+00:00,2013-05-01 17:15:00+00:00,0 days 17:31:00,2013,100.0,False,2013-04-30
36,san bernardino,34.003151,-117.106075,CAL FIRE San Bernardino Unit,Liveoak Fire,73.0,2013-09-11 16:57:00+00:00,2013-09-12 08:45:00+00:00,0 days 15:48:00,2013,100.0,False,2013-09-11
58,yuba,39.206,-121.31634,CAL FIRE Nevada-Placer-Yuba Unit,McGanney Fire,73.0,2013-07-08 09:59:00+00:00,2013-07-08 17:30:00+00:00,0 days 07:31:00,2013,100.0,False,2013-07-08
4,butte,0.0,0.0,CAL FIRE Butte Unit,Cedar Fire,72.0,2013-05-01 04:16:00+00:00,2013-05-04 19:00:00+00:00,3 days 14:44:00,2013,100.0,True,2013-05-01
17,lake,39.013682,-122.491894,CAL FIRE Sonoma-Lake-Napa Unit,Double Fire,70.0,2013-08-16 17:57:00+00:00,2013-08-18 18:30:00+00:00,2 days 00:33:00,2013,100.0,True,2013-08-16
25,modoc,41.569,-120.959,Modoc National Forest,Rail Fire,68.0,2013-09-07 17:30:00+00:00,2013-09-05 21:00:00+00:00,-2 days +03:30:00,2013,100.0,False,2013-09-07
56,ventura,34.384,-119.13249,Ventura County Fire Department,Wheeler Fire,64.0,2013-11-14 11:05:00+00:00,2013-11-15 16:00:00+00:00,1 days 04:55:00,2013,100.0,False,2013-11-14
33,riverside,38.838,-116.61,San Bernardino National Forest,Tram Fire,60.0,2013-08-06 13:39:00+00:00,2013-08-08 09:00:00+00:00,1 days 19:21:00,2013,100.0,False,2013-08-06
