date,county,latitude,longitude,fire_name,acres_burned,fire_bins,duration,started,extinguished,pct_contained,major_incident,admin_unit,avg_wind_speed,avg_monthly_temp,total_monthly_precipitation,highest_daily_precipitation,total_monthly_snowfall,dsnd,dt00,dx32,co2_measured_mole_fraction,value_std_dev,co2_number_of_measurements,qc_flag,temp_range,month,season
2017-07-01,tulare,36.18815,-118.78928,Fox Fire,59.0,2,175.0,2017-07-17 15:32:00+00:00,2018-01-09 11:59:00+00:00,100.0,False,CAL FIRE Tulare Unit,1152.7947368421053,83.00874999999999,5.0,0.0,0.0025,0.0,0.0,0.0,407.52,0.14,12,pass,13.857500000000002,07,summer
2017-07-01,tulare,36.64404,-118.99944,Hogback Fire,58.0,2,174.0,2017-07-18 15:50:00+00:00,2018-01-09 12:01:00+00:00,100.0,False,CAL FIRE Tulare Unit,1152.7947368421053,83.00874999999999,5.0,0.0,0.0025,0.0,0.0,0.0,407.31,0.25,6,pass,13.857500000000002,07,summer
2017-07-01,tulare,36.10858,-118.81979,Globe Fire,21.0,1,188.0,2017-07-05 08:24:00+00:00,2018-01-09 11:44:00+00:00,100.0,False,CAL FIRE Tulare Unit,1152.7947368421053,83.00874999999999,5.0,0.0,0.0025,0.0,0.0,0.0,409.09,0.05,14,pass,13.857500000000002,07,summer
2017-07-01,tulare,36.22265,-119.06598,Elephant Fire,416.0,4,172.0,2017-07-20 19:16:00+00:00,2018-01-09 12:02:00+00:00,100.0,False,CAL FIRE Tulare Unit,1152.7947368421053,83.00874999999999,5.0,0.0,0.0025,0.0,0.0,0.0,406.95,0.16,11,pass,13.857500000000002,07,summer
2017-05-01,san diego,32.65597,-116.80527,Gate Fire,2056.0,6,233.0,2017-05-20 23:19:00+00:00,2018-01-09 10:06:00+00:00,100.0,True,CAL FIRE San Diego Unit,377.1291262135922,67.7578947368421,143.8421052631579,0.0,1.2233707865168535,0.0,0.0,0.0,410.02,0.12,11,pass,10.910526315789454,05,spring
2017-05-01,san diego,33.34988,-117.39818,Range Fire,1000.0,5,228.0,2017-05-25 18:15:00+00:00,2018-01-09 10:17:00+00:00,100.0,False,Camp Pendleton Marine Base,377.1291262135922,67.7578947368421,143.8421052631579,0.0,1.2233707865168535,0.0,0.0,0.0,410.11,0.1,15,pass,10.910526315789454,05,spring
2017-05-01,san diego,33.3906,-117.32348,Deluz Fire,486.0,4,234.0,2017-05-19 14:45:00+00:00,2018-01-09 10:06:00+00:00,100.0,False,Camp Pendleton Marine Base,377.1291262135922,67.7578947368421,143.8421052631579,0.0,1.2233707865168535,0.0,0.0,0.0,410.33,0.09,9,pass,10.910526315789454,05,spring
2017-05-01,san diego,32.679,-116.29296,Ribbonwood Fire,25.0,1,229.0,2017-05-24 15:30:00+00:00,2018-01-09 10:10:00+00:00,100.0,False,CAL FIRE San Diego Unit,377.1291262135922,67.7578947368421,143.8421052631579,0.0,1.2233707865168535,0.0,0.0,0.0,410.11,0.07,15,pass,10.910526315789454,05,spring
2017-05-01,kern,35.4605,-118.85896,Ming Fire,506.0,5,233.0,2017-05-20 14:23:00+00:00,2018-01-09 10:07:00+00:00,100.0,False,Kern County Fire,711.7708333333335,72.82256944444444,106.2,0.0,0.122,0.0,0.0,0.0,410.02,0.12,11,pass,14.032638888888883,05,spring
2017-05-01,kern,35.60001,-118.4683,Hub Fire,31.0,1,242.0,2017-05-12 05:05:00+00:00,2018-01-09 09:55:00+00:00,100.0,False,Kern County Fire,711.7708333333335,72.82256944444444,106.2,0.0,0.122,0.0,0.0,0.0,409.45,0.05,10,pass,14.032638888888883,05,spring
2017-05-01,kern,35.41283,-118.84466,Bravo Fire,288.0,4,238.0,2017-05-15 14:05:00+00:00,2018-01-09 09:58:00+00:00,100.0,False,Kern County Fire,711.7708333333335,72.82256944444444,106.2,0.0,0.122,0.0,0.0,0.0,411.31,0.08,6,pass,14.032638888888883,05,spring
2017-05-01,kern,34.87128,-118.35296,Champagne Fire,10.0,1,225.0,2017-05-28 10:59:00+00:00,2018-01-09 10:17:00+00:00,100.0,False,Kern County Fire Department,711.7708333333335,72.82256944444444,106.2,0.0,0.122,0.0,0.0,0.0,409.81,0.14,14,pass,14.032638888888883,05,spring
2017-05-01,kern,35.71704000000001,-118.30601,Fay Fire,19.0,1,252.0,2017-05-01 12:44:00+00:00,2018-01-09 09:54:00+00:00,100.0,False,Kern County Fire,711.7708333333335,72.82256944444444,106.2,0.0,0.122,0.0,0.0,0.0,408.62,0.06,4,pass,14.032638888888883,05,spring
2017-05-01,santa barbara,34.9465,-119.8036,Wasioja Fire,190.0,3,233.0,2017-05-20 17:54:00+00:00,2018-01-09 10:07:00+00:00,100.0,False,Santa Barbara County,259.4368421052631,66.18214285714285,157.64285714285714,0.0,0.3058333333333333,0.16062632891254802,0.0,0.0,410.02,0.12,11,pass,10.149999999999991,05,spring
2017-05-01,merced,36.96655,-120.89261,Wright Fire,1800.0,6,241.0,2017-05-12 15:30:00+00:00,2018-01-09 09:56:00+00:00,100.0,False,CAL FIRE Madera-Mariposa-Merced Unit,68.39999999999999,76.35,42.0,0.0,0.14285714285714285,0.0,0.0,0.0,409.45,0.05,10,pass,15.242857142857133,05,spring
2017-09-01,stanislaus,38.12,-119.941,Creek Fire,1749.0,6,127.0,2017-09-03 16:23:00+00:00,2018-01-09 12:50:00+00:00,100.0,False,Stanislaus National Forest ,137.06,80.5,8.0,0.0,0.0075,0.0,0.0,0.0,404.01,0.15,14,pass,11.866666666666632,09,fall
2017-09-01,madera,37.21616,-119.48067,Mission Fire,1035.0,6,128.0,2017-09-03 13:06:00+00:00,2018-01-09 13:18:00+00:00,100.0,True,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest,547.7,80.55000000000001,23.33333333333333,0.0,0.4025,0.0,0.0,0.0,404.01,0.15,14,pass,13.766666666666666,09,fall
2017-09-01,madera,37.14624,-120.015509,Eastman Fire,429.0,4,112.0,2017-09-18 16:04:00+00:00,2018-01-09 13:21:00+00:00,100.0,False,CAL FIRE Madera-Mariposa-Merced Unit,547.7,80.55000000000001,23.33333333333333,0.0,0.4025,0.0,0.0,0.0,403.55,0.08,13,pass,13.766666666666666,09,fall
2017-09-01,madera,36.94652,-120.90462,Power Fire,48.0,1,110.0,2017-09-20 21:07:00+00:00,2018-01-09 13:23:00+00:00,100.0,False,CAL FIRE Madera-Mariposa-Merced Unit,547.7,80.55000000000001,23.33333333333333,0.0,0.4025,0.0,0.0,0.0,403.03,0.1,8,pass,13.766666666666666,09,fall
2017-09-01,mariposa,37.37397,-119.83556000000002,Peak Fire,680.0,5,127.0,2017-09-03 13:10:00+00:00,2018-01-09 12:51:00+00:00,100.0,True,CAL FIRE Madera-Mariposa-Merced Unit,1092.9083333333333,70.27142857142857,148.57142857142858,0.0,0.7628571428571428,0.16062632891254802,0.0,0.0,404.01,0.15,14,pass,11.485714285714295,09,fall
2017-09-01,mariposa,37.76888,-120.15846,Dexter Fire,10.0,1,110.0,2017-09-20 14:53:00+00:00,2018-01-09 13:23:00+00:00,100.0,False,CAL FIRE Madera-Mariposa-Merced Unit,1092.9083333333333,70.27142857142857,148.57142857142858,0.0,0.7628571428571428,0.16062632891254802,0.0,0.0,403.03,0.1,8,pass,11.485714285714295,09,fall
2017-09-01,san luis obispo,35.31886,-120.50886,Margarita Fire,120.0,3,127.0,2017-09-03 16:59:00+00:00,2018-01-09 12:50:00+00:00,100.0,False,CAL FIRE San Luis Obispo Unit,358.68125,77.73500000000001,31.0,0.0,0.22454545454545455,0.0,0.0,0.0,404.01,0.15,14,pass,14.61,09,fall
2017-09-01,san luis obispo,35.12269000000001,-120.39387,Huasna Fire,245.0,3,110.0,2017-09-20 13:41:00+00:00,2018-01-09 13:23:00+00:00,100.0,True,CAL FIRE San Luis Obispo Unit,358.68125,77.73500000000001,31.0,0.0,0.22454545454545455,0.0,0.0,0.0,403.03,0.1,8,pass,14.61,09,fall
2017-09-01,san luis obispo,35.3024,-120.65279,Poly Fire,105.0,3,104.0,2017-09-26 15:30:00+00:00,2018-01-09 13:26:00+00:00,100.0,False,CAL FIRE San Luis Obispo Unit,358.68125,77.73500000000001,31.0,0.0,0.22454545454545455,0.0,0.0,0.0,402.49,0.17,14,pass,14.61,09,fall
2017-09-01,san luis obispo,35.5956,-120.56068,Linne Fire,74.0,2,104.0,2017-09-26 16:45:00+00:00,2018-01-09 13:26:00+00:00,100.0,False,CAL FIRE San Luis Obispo Unit,358.68125,77.73500000000001,31.0,0.0,0.22454545454545455,0.0,0.0,0.0,402.49,0.17,14,pass,14.61,09,fall
2017-09-01,san luis obispo,35.76343,-121.04445,Cove Fire,25.0,1,107.0,2017-09-23 15:40:00+00:00,2018-01-09 13:23:00+00:00,100.0,False,CAL FIRE San Luis Obispo Unit,358.68125,77.73500000000001,31.0,0.0,0.22454545454545455,0.0,0.0,0.0,403.03,0.15,8,pass,14.61,09,fall
2017-09-01,santa clara,36.99092,-121.59899,Bally Fire,100.0,2,127.0,2017-09-03 19:17:00+00:00,2018-01-09 12:50:00+00:00,100.0,False,CAL FIRE Santa Clara Unit/Gilroy Fire Dept,209.86666666666667,76.02222222222223,37.111111111111114,0.0,0.05000000000000001,0.0,0.0,0.0,404.01,0.15,14,pass,11.511111111111092,09,fall
2017-09-01,fresno,36.09486,-120.52188999999998,Parkfield Fire,100.0,2,128.0,2017-09-03 09:23:00+00:00,2018-01-09 12:51:00+00:00,100.0,False,CAL FIRE Fresno-Kings Unit,755.284,75.6624183006536,103.41176470588236,0.0,0.3315384615384615,0.0,0.0,0.0,404.01,0.15,14,pass,13.430718954248391,09,fall
2017-09-01,fresno,36.24653,-120.31598,Murphy Fire,237.0,3,111.0,2017-09-19 19:47:00+00:00,2018-01-09 13:23:00+00:00,100.0,False,CAL FIRE Fresno-Kings Unit,755.284,75.6624183006536,103.41176470588236,0.0,0.3315384615384615,0.0,0.0,0.0,402.78,0.07,13,pass,13.430718954248391,09,fall
2017-09-01,fresno,37.10067,-119.32108999999998,Shaver Fire,10.0,1,120.0,2017-09-11 10:00:00+00:00,2018-01-09 13:19:00+00:00,100.0,False,CAL FIRE / Fresno County Fire,755.284,75.6624183006536,103.41176470588236,0.0,0.3315384615384615,0.0,0.0,0.0,403.78,0.23,12,pass,13.430718954248391,09,fall
2017-07-01,fresno,35.95910999999999,-120.55579,Park Fire,1649.0,6,175.0,2017-07-17 13:15:00+00:00,2018-01-09 11:58:00+00:00,100.0,True,CAL FIRE / Fresno County Fire,672.225,87.72058823529412,1.6470588235294117,0.0,0.0,0.0,0.0,0.0,407.52,0.14,12,pass,14.735294117647044,07,summer
