,CountyIds,COUNTY_x,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,Duration,ArchiveYear,PercentContained,MajorIncident,time,value,value_std_dev,nvalue,qcflag,time/place,ELEVATION,AWND,CLDD,DP01,DP10,DSND,DT00,DT32,DX32,DX70,EMNT,EMSN,EMXP,EMXT,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,COUNTY_y
40,"28,48",solano,38.39206,-122.24367,CAL FIRE Sonoma-Lake-Napa Unit,Atlas Fire (Southern LNU Complex),51624.0,2017-10-08 21:52:00+00:00,2018-02-09 09:37:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01solano,75.5,242.61999999999998,6.3,1.2,1.0,0.0,0.0,0.0,0.0,28.25,2.25,43.5,0.0,0.20999999999999996,92.0,44.0,0.21200000000000002,0.0,66.075,81.44999999999999,50.650000000000006
41,23,mendocino,39.24873,-123.16635,CAL FIRE Mendocinio Unit,Redwood Valley Fire (Mendocino Lake Complex),36523.0,2017-10-08 23:36:00+00:00,2018-02-09 08:56:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01mendocino,35.888888888888886,366.9555555555555,2.0,2.5,1.25,0.0,0.0,0.2222222222222222,0.0,21.88888888888889,3.4444444444444446,36.111111111111114,0.0,0.8033333333333332,90.55555555555556,174.55555555555554,0.9033333333333333,0.0,60.43333333333333,76.36666666666667,44.53333333333333
42,58,yuba,39.321979999999996,-121.4021,CAL FIRE Nevada-Yuba-Placer Unit,Cascade Fire (Wind Complex),9989.0,2017-10-08 23:03:00+00:00,2018-02-09 09:39:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01yuba,39.666666666666664,523.3000000000001,6.0,1.2,1.0,0.0,0.0,1.0,0.0,24.333333333333332,0.0,36.0,0.0,0.6040000000000001,87.66666666666667,156.0,0.61,0.0,61.26666666666667,75.89999999999999,46.6
43,4,butte,39.624959999999994,-121.52966,CAL FIRE Butte Unit,Cherokee Fire,8417.0,2017-10-08 21:45:00+00:00,2018-02-09 09:48:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01butte,66.0,335.96250000000003,4.9,1.1666666666666667,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,25.555555555555557,0.8888888888888888,39.111111111111114,0.0,0.5391666666666666,88.88888888888889,98.88888888888889,0.5425,0.0,63.95555555555555,77.16666666666667,50.76666666666667
44,4,butte,39.39455,-121.40613,CAL FIRE/Butte County Fire,LaPorte Fire (Wind Complex),6151.0,2017-10-09 00:57:00+00:00,2018-02-09 09:50:00+00:00,123.0,2017,100.0,True,2017-10-01,403.21,0.04,12,pass,2017-10-01butte,66.0,335.96250000000003,4.9,1.1666666666666667,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,25.555555555555557,0.8888888888888888,39.111111111111114,0.0,0.5391666666666666,88.88888888888889,98.88888888888889,0.5425,0.0,63.95555555555555,77.16666666666667,50.76666666666667
45,4,butte,39.746790000000004,-121.67261,CAL FIRE/Butte County Fire,Honey Fire,150.0,2017-10-09 15:05:00+00:00,2018-01-09 13:34:00+00:00,91.0,2017,100.0,True,2017-10-01,403.21,0.04,12,pass,2017-10-01butte,66.0,335.96250000000003,4.9,1.1666666666666667,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,25.555555555555557,0.8888888888888888,39.111111111111114,0.0,0.5391666666666666,88.88888888888889,98.88888888888889,0.5425,0.0,63.95555555555555,77.16666666666667,50.76666666666667
46,17,lake,39.013870000000004,-122.64543,CAL FIRE Sonoma-Lake-Napa Unit,Sulphur Fire (Mendocino Lake Complex),2207.0,2017-10-08 23:59:00+00:00,2018-02-09 09:29:00+00:00,123.0,2017,100.0,True,2017-10-01,403.48,0.32,6,pass,2017-10-01lake,68.14285714285714,732.5916666666667,,1.6,1.4,0.0,0.0,3.2857142857142856,0.0,20.285714285714285,0.5714285714285714,34.142857142857146,0.0,0.392,86.28571428571429,210.85714285714286,0.45600000000000007,0.0,60.385714285714286,72.77142857142857,48.028571428571425
47,17,lake,39.0199,-122.57486999999999,CAL FIRE Sonoma Lake Napa Unit,Long Fire,100.0,2017-10-14 05:00:00+00:00,2018-01-09 13:38:00+00:00,87.0,2017,100.0,False,2017-10-01,403.37,0.18,11,pass,2017-10-01lake,68.14285714285714,732.5916666666667,,1.6,1.4,0.0,0.0,3.2857142857142856,0.0,20.285714285714285,0.5714285714285714,34.142857142857146,0.0,0.392,86.28571428571429,210.85714285714286,0.45600000000000007,0.0,60.385714285714286,72.77142857142857,48.028571428571425
48,17,lake,39.15016,-122.57600000000001,CAL FIRE Sonoma-Lake-Napa Unit,Ridge Fire,87.0,2017-10-06 14:38:00+00:00,2018-01-09 13:29:00+00:00,94.0,2017,100.0,True,2017-10-01,403.03,0.08,14,pass,2017-10-01lake,68.14285714285714,732.5916666666667,,1.6,1.4,0.0,0.0,3.2857142857142856,0.0,20.285714285714285,0.5714285714285714,34.142857142857146,0.0,0.392,86.28571428571429,210.85714285714286,0.45600000000000007,0.0,60.385714285714286,72.77142857142857,48.028571428571425
49,45,shasta,40.70627,-122.24198999999999,CAL FIRE Shasta-Trintiy Unit,Jones Fire,40.0,2017-10-08 04:53:00+00:00,2018-01-09 13:31:00+00:00,93.0,2017,100.0,False,2017-10-01,403.48,0.32,6,pass,2017-10-01shasta,48.25,584.625925925926,6.5,1.35,0.95,0.0,0.0,3.9166666666666665,0.0,22.916666666666668,1.5833333333333333,35.083333333333336,0.0,0.5725,88.33333333333333,187.41666666666666,0.611,0.0,60.51666666666667,75.7,45.34166666666667
