,CountyIds,Counties,Latitude,Longitude,AdminUnit,Name,AcresBurned,Started,Extinguished,ArchiveYear,PercentContained,MajorIncident,time,value,value_std_dev,nvalue,qcflag
100,10,Fresno,0.0,0.0,CAL FIRE / Fresno County Fire,Butte Fire,80.0,2013-04-09 12:35:00+00:00,2013-04-09 15:30:00+00:00,2013,100.0,False,2013-04-09,398.22,0.21,10,pass
101,52,Tehama,0.0,0.0,CAL FIRE Tehama-Glenn Unit,Tehama Fire,75.0,2013-09-15 17:39:00+00:00,2013-09-15 19:00:00+00:00,2013,100.0,False,2013-09-15,392.18,0.18,3,pass
102,17,Lake,38.9777,-122.683,CAL FIRE Sonoma-Lake-Napa Unit,Lakeshore Fire,30.0,2013-09-15 19:45:00+00:00,2013-09-15 17:14:00+00:00,2013,100.0,True,2013-09-15,392.18,0.18,3,pass
103,36,San Bernardino,34.316,-117.352,San Bernardino County Fire,Silverwood Fire,75.0,2013-07-25 15:09:00+00:00,2013-07-26 18:15:00+00:00,2013,100.0,False,2013-07-25,396.92,0.16,15,pass
104,36,San Bernardino,34.003151,-117.106075,CAL FIRE San Bernardino Unit,Liveoak Fire,73.0,2013-09-11 16:57:00+00:00,2013-09-12 08:45:00+00:00,2013,100.0,False,2013-09-11,392.86,0.08,9,pass
105,25,Modoc,41.569,-120.959,Modoc National Forest,Rail Fire,68.0,2013-09-07 17:30:00+00:00,2013-09-05 21:00:00+00:00,2013,100.0,False,2013-09-07,393.3,0.28,10,pass
106,41,San Mateo,37.667295,-122.427285,CAL FIRE San Mateo-Santa Cruz Unit,Chestnut Fire,41.0,2013-09-07 13:55:00+00:00,2013-09-07 20:00:00+00:00,2013,100.0,False,2013-09-07,393.3,0.28,10,pass
107,56,Ventura,34.384,-119.13249,Ventura County Fire Department,Wheeler Fire,64.0,2013-11-14 11:05:00+00:00,2013-11-15 16:00:00+00:00,2013,100.0,False,2013-11-14,394.96,0.13,15,pass
108,33,Riverside,38.838,-116.61,San Bernardino National Forest,Tram Fire,60.0,2013-08-06 13:39:00+00:00,2013-08-08 09:00:00+00:00,2013,100.0,False,2013-08-06,395.59,0.13,7,pass
109,33,Riverside,33.910270000000004,-116.99895,CAL FIRE/Riverside County  Fire,Relay Fire,60.0,2013-08-04 16:29:00+00:00,2013-08-04 18:00:00+00:00,2013,100.0,False,2013-08-04,396.77,0.15,3,pass
110,45,Shasta,0.0,0.0,CAL FIRE Shasta-Trinity Unit,Honey Fire,34.0,2013-08-04 18:00:00+00:00,2013-08-05 08:17:00+00:00,2013,100.0,False,2013-08-04,396.77,0.15,3,pass
111,17,Lake,39.0448,-122.7656,CAL FIRE Sonoma-Lake-Napa Unit,Bruner Fire,50.0,2013-11-23 12:04:00+00:00,2013-11-24 08:45:00+00:00,2013,100.0,False,2013-11-23,395.55,0.15,14,pass
112,17,Lake,38.9289,-122.5818,CAL FIRE Sonoma-Lake-Napa Unit,Dam Fire,23.0,2013-11-23 14:17:00+00:00,2013-11-24 18:45:00+00:00,2013,100.0,False,2013-11-23,395.55,0.15,14,pass
113,47,Siskiyou,41.923323,-122.578393,CAL FIRE Siskiyou Unit,Cottonwood Fire,50.0,2013-08-15 14:40:00+00:00,2013-08-15 17:00:00+00:00,2013,100.0,False,2013-08-15,394.96,0.22,11,pass
114,10,Fresno,37.03087,-119.463757,CAL FIRE/Fresno County Fire,Sierra Fire,46.0,2013-06-17 14:41:00+00:00,2013-06-19 08:45:00+00:00,2013,100.0,False,2013-06-17,397.98,0.06,11,pass
